feature,xgb_importance,shap_importance,combined_score,target_corr,removed_collinear,selected,selection_reason
InvSales,0.003082262584939599,,0.003082262584939599,0.013117433465082467,False,False,"RFE 탈락 (60위, score=0.0031)"
Asia_Pacific_YoY_lag6,0.002864122623577714,,0.002864122623577714,0.15487658789953437,False,False,"RFE 탈락 (61위, score=0.0029)"
FRED_IndProd_YoY_momentum_3_12,0.002761740004643798,,0.002761740004643798,0.13746894857803718,False,False,"RFE 탈락 (62위, score=0.0028)"
T10Y3M_lag12,0.002570516662672162,,0.002570516662672162,0.15582557378603334,False,False,"RFE 탈락 (63위, score=0.0026)"
FRED_IndProd_YoY_accel,0.002551144687458873,,0.002551144687458873,0.20233330470016025,False,False,"RFE 탈락 (64위, score=0.0026)"
Ret_SOX_lag12,0.0025298914406448603,,0.0025298914406448603,0.10942897512400043,False,False,"RFE 탈락 (65위, score=0.0025)"
FedFunds_diff6,0.002490528393536806,,0.002490528393536806,0.19664625926261345,False,False,"RFE 탈락 (66위, score=0.0025)"
FRED_IndProd_YoY_lag6,0.0024804105050861835,,0.0024804105050861835,0.3193744561578439,False,False,"RFE 탈락 (67위, score=0.0025)"
Japan_YoY_accel,0.0024778200313448906,,0.0024778200313448906,0.29469698406471756,False,False,"RFE 탈락 (68위, score=0.0025)"
Ret_SOX_vol3,0.0024426905438303947,,0.0024426905438303947,0.22841824182442783,False,False,"RFE 탈락 (69위, score=0.0024)"
Asia_Pacific_YoY_momentum_3_12,0.0024220149498432875,,0.0024220149498432875,0.3394746222512645,False,False,"RFE 탈락 (70위, score=0.0024)"
Ret_SKHynix,0.0023521557450294495,,0.0023521557450294495,0.12422477291944725,False,False,"RFE 탈락 (71위, score=0.0024)"
FRED_SemiProd_YoY_lag12,0.002315402962267399,,0.002315402962267399,0.2669181020345007,False,False,"RFE 탈락 (72위, score=0.0023)"
FRED_ConsSenti_YoY_lag6,0.0021472368389368057,,0.0021472368389368057,0.07618367256986072,False,False,"RFE 탈락 (73위, score=0.0021)"
Ret_SKHynix_ma3,0.0020468570291996002,,0.0020468570291996002,0.18964325208427807,False,False,"RFE 탈락 (74위, score=0.0020)"
T10Y3M_chg6,0.002008847426623106,,0.002008847426623106,0.020463058087728,False,False,"RFE 탈락 (75위, score=0.0020)"
Ret_ASML_lag12,0.001997575629502535,,0.001997575629502535,0.0856826967632686,False,False,"RFE 탈락 (76위, score=0.0020)"
