fold,period,rmse,rmse_bull,rmse_bear,dir_acc,dir_bull,dir_bear,asym_loss
Fold 1,2018-11 ~ 2019-10,4.372556786506644,1.6389667276817914,5.554920271286708,100.0,100.0,100.0,4.665805752672658
Fold 2,2019-11 ~ 2020-10,5.2504793783019945,5.2504793783019945,,100.0,100.0,,5.2504793783019945
Fold 3,2020-11 ~ 2021-10,7.380809068920119,7.380809068920119,,100.0,100.0,,7.380809068920119
Fold 4,2021-11 ~ 2022-10,6.5764722477462705,8.731179927712956,6.054195576988964,75.0,100.0,70.0,7.316738024165235
Fold 5,2022-11 ~ 2023-10,7.341292972291373,8.431606293848505,4.415855310821754,100.0,100.0,100.0,6.998645513405749
CV 평균,-,6.18432209075328,6.286608279293072,5.341657053032475,95.0,100.0,90.0,6.322495547493151
Hold-out,2023-11 ~ 2025-10,33.032324350045855,33.032324350045855,,95.83333333333334,95.83333333333334,,33.362274134173894
