fold,period,rmse,rmse_bull,rmse_bear,dir_acc,dir_bull,dir_bear,asym_loss,ic
Fold 1,2016-01 ~ 2016-10,47.69832548779961,47.69832548779961,,50.0,50.0,,50.67914952950731,-0.39999999999999997
Fold 2,2017-01 ~ 2017-10,3.4493076291371993,3.4493076291371993,,100.0,100.0,,3.4493076291371993,1.0
Fold 3,2018-01 ~ 2018-10,12.532142363718775,16.453521637604386,6.587170118488965,100.0,100.0,100.0,11.589729755848264,0.7999999999999999
Fold 4,2019-01 ~ 2019-10,11.130002493402808,9.346805041040946,15.278073457963396,75.0,66.66666666666666,100.0,11.345914959886601,0.7999999999999999
Fold 5,2020-01 ~ 2020-10,31.197155301255716,31.62769115210279,29.868335285453497,75.0,100.0,0.0,30.760594112736733,0.39999999999999997
CV 평균,-,21.201386655062823,21.71513018953699,17.24452628730195,80.0,83.33333333333333,66.66666666666667,21.56493919742322,0.5199999999999999
Hold-out,2021-01 ~ 2025-10,68.08528375955389,86.89991951194749,16.174691489268252,55.00000000000001,58.333333333333336,50.0,69.63302279723787,0.03458646616541353
